sr_no,name,country,role,auction_status,base_price,final_price,sold_to,year
371,Tom Latham,New Zealand,WK-Batter,UNSOLD,15000000,0,,2025
306,Michael Bracewell,New Zealand,Allrounder,UNSOLD,15000000,0,,2025
71,Tim Southee,New Zealand,Bowler,UNSOLD,15000000,0,,2025
95,Mohammad Nabi,Afghanistan,Allrounder,UNSOLD,15000000,0,,2025
108,James Neesham,New Zealand,Allrounder,UNSOLD,15000000,0,,2025
292,Jason Behrendorff,Australia,Bowler,UNSOLD,15000000,0,,2025
70,John Turner,England,Bowler,UNSOLD,15000000,0,,2025
219,Akeal Hosein,West Indies,Allrounder,UNSOLD,15000000,0,,2025
329,Kyle Jamieson,New Zealand,Bowler,UNSOLD,15000000,0,,2025
90,Jhye Richardson,Australia,Bowler,UNSOLD,15000000,0,,2025
290,Kyle Mayers,West Indies,Allrounder,UNSOLD,15000000,0,,2025
311,William ORourke,New Zealand,Bowler,UNSOLD,15000000,0,,2025
109,Daniel Sams,Australia,Allrounder,UNSOLD,15000000,0,,2025
199,Rovman Powell,West Indies,Allrounder,SOLD,15000000,15000000,KKR,2025
307,Jamie Overton,England,Allrounder,SOLD,15000000,15000000,CSK,2025
347,Ajinkya Rahane,India,Batter,SOLD,15000000,15000000,KKR,2025
251,Romario Shepherd,West Indies,Allrounder,SOLD,15000000,15000000,RCB,2025
249,Azmatullah Omarzai,Afghanistan,Allrounder,SOLD,15000000,24000000,PBKS,2025
244,Sherfane Rutherford,West Indies,Allrounder,SOLD,15000000,26000000,GT,2025
133,Rachin Ravindra,New Zealand,Allrounder,RTM,15000000,40000000,CSK,2025
208,Nitish Rana,India,Allrounder,SOLD,15000000,42000000,RR,2025
124,David Miller,South Africa,Batter,SOLD,15000000,75000000,LSG,2025
111,Matt Henry,New Zealand,Bowler,UNSOLD,20000000,0,,2025
257,Naveen-ul-Haq,Afghanistan,Bowler,UNSOLD,20000000,0,,2025
116,Sean Abbott,Australia,Allrounder,UNSOLD,20000000,0,,2025
87,Evin Lewis,West Indies,Batter,UNSOLD,20000000,0,,2025
46,Tom Banton,England,WK-Batter,UNSOLD,20000000,0,,2025
198,Kane Williamson,New Zealand,Batter,UNSOLD,20000000,0,,2025
118,Tabraiz Shamsi,South Africa,Bowler,UNSOLD,20000000,0,,2025
65,Tymal Mills,England,Bowler,UNSOLD,20000000,0,,2025
259,Umesh Yadav,India,Bowler,UNSOLD,20000000,0,,2025
45,James Vince,England,Batter,UNSOLD,20000000,0,,2025
348,Shardul Thakur,India,Allrounder,UNSOLD,20000000,0,,2025
330,Chris Jordan,England,Bowler,UNSOLD,20000000,0,,2025
216,Mujeeb Ur Rahman,Afghanistan,Bowler,UNSOLD,20000000,0,,2025
107,Jason Holder,West Indies,Allrounder,UNSOLD,20000000,0,,2025
275,Alzarri Joseph,West Indies,Bowler,UNSOLD,20000000,0,,2025
369,Gus Atkinson,England,Allrounder,UNSOLD,20000000,0,,2025
254,Mustafizur Rahman,Bangladesh,Bowler,UNSOLD,20000000,0,,2025
271,Steven Smith,Australia,Batter,UNSOLD,20000000,0,,2025
220,Adil Rashid,England,Bowler,UNSOLD,20000000,0,,2025
242,Ben Duckett,England,Batter,UNSOLD,20000000,0,,2025
144,Jonny Bairstow,England,WK-Batter,UNSOLD,20000000,0,,2025
92,Tom Curran,England,Allrounder,UNSOLD,20000000,0,,2025
203,Daryl Mitchell,New Zealand,Allrounder,UNSOLD,20000000,0,,2025
310,Adam Milne,New Zealand,Bowler,UNSOLD,20000000,0,,2025
340,David Warner,Australia,Batter,UNSOLD,20000000,0,,2025
241,Finn Allen,New Zealand,Batter,UNSOLD,20000000,0,,2025
146,Rahmanullah Gurbaz,Afghanistan,WK-Batter,SOLD,20000000,20000000,KKR,2025
272,Mitchell Santner,New Zealand,Allrounder,SOLD,20000000,20000000,MI,2025
401,Faf du Plessis,South Africa,Batter,SOLD,20000000,20000000,DC,2025
358,Moeen Ali,England,Allrounder,SOLD,20000000,20000000,KKR,2025
339,Devdutt Padikkal,India,Batter,SOLD,20000000,20000000,RCB,2025
346,Glenn Phillips,New Zealand,Batter,SOLD,20000000,20000000,GT,2025
215,Lockie Ferguson,New Zealand,Bowler,SOLD,20000000,20000000,PBKS,2025
128,Aiden Markram,South Africa,Batter,SOLD,20000000,20000000,LSG,2025
274,Fazalhaq Farooqi,Afghanistan,Bowler,SOLD,20000000,20000000,RR,2025
201,Sam Curran,England,Allrounder,SOLD,20000000,24000000,CSK,2025
159,Adam Zampa,Australia,Bowler,SOLD,20000000,24000000,SRH,2025
210,Josh Inglis,Australia,WK-Batter,SOLD,20000000,26000000,PBKS,2025
253,Spencer Johnson,Australia,Bowler,SOLD,20000000,28000000,KKR,2025
245,Tim David,Australia,Allrounder,SOLD,20000000,30000000,RCB,2025
205,Washington Sundar,India,Allrounder,SOLD,20000000,32000000,GT,2025
139,Mitchell Marsh,Australia,Allrounder,SOLD,20000000,34000000,LSG,2025
143,Quinton de Kock,South Africa,WK-Batter,SOLD,20000000,36000000,KKR,2025
140,Glenn Maxwell,Australia,Allrounder,SOLD,20000000,42000000,PBKS,2025
156,Maheesh Theekshana,Sri Lanka,Bowler,SOLD,20000000,44000000,RR,2025
154,Khaleel Ahmed,India,Bowler,SOLD,20000000,48000000,CSK,2025
197,Wanindu Hasaranga,Sri Lanka,Bowler,SOLD,20000000,52500000,RR,2025
248,Will Jacks,England,Allrounder,SOLD,20000000,52500000,MI,2025
204,Krunal Pandya,India,Allrounder,SOLD,20000000,57500000,RCB,2025
127,Harry Brook,England,Batter,SOLD,20000000,62500000,DC,2025
129,Devon Conway,New Zealand,Batter,SOLD,20000000,62500000,CSK,2025
152,Anrich Nortje,South Africa,Bowler,SOLD,20000000,65000000,KKR,2025
132,Harshal Patel,India,Allrounder,SOLD,20000000,80000000,SRH,2025
214,Mukesh Kumar,India,Bowler,RTM,20000000,80000000,DC,2025
134,Liam Livingstone,England,Allrounder,SOLD,20000000,87500000,RCB,2025
131,Jake Fraser-McGurk,Australia,Batter,RTM,20000000,90000000,DC,2025
400,Deepak Chahar,India,Bowler,SOLD,20000000,92500000,MI,2025
150,Prasidh Krishna,India,Bowler,SOLD,20000000,95000000,GT,2025
151,Avesh Khan,India,Bowler,SOLD,20000000,97500000,LSG,2025
169,Ravichandran Ashwin,India,Allrounder,SOLD,20000000,97500000,CSK,2025
196,Noor Ahmad,Afghanistan,Bowler,SOLD,20000000,100000000,CSK,2025
135,Mohammed Shami,India,Bowler,SOLD,20000000,100000000,SRH,2025
155,T Natarajan,India,Bowler,SOLD,20000000,107500000,DC,2025
123,Kagiso Rabada,South Africa,Bowler,SOLD,20000000,107500000,GT,2025
402,Bhuvneshwar Kumar,India,Bowler,SOLD,20000000,107500000,RCB,2025
138,Marcus Stoinis,Australia,Allrounder,SOLD,20000000,110000000,PBKS,2025
147,Ishan Kishan,India,WK-Batter,SOLD,20000000,112500000,SRH,2025
145,Philip Salt,England,WK-Batter,SOLD,20000000,115000000,RCB,2025
122,Mitchell Starc,Australia,Bowler,SOLD,20000000,117500000,DC,2025
136,Mohammed Siraj,India,Bowler,SOLD,20000000,122500000,GT,2025
153,Jofra Archer,England,Bowler,SOLD,20000000,125000000,RR,2025
149,Josh Hazlewood,Australia,Bowler,SOLD,20000000,125000000,RCB,2025
168,Trent Boult,New Zealand,Bowler,SOLD,20000000,125000000,MI,2025
126,KL Rahul,India,WK-Batter,SOLD,20000000,140000000,DC,2025
121,Jos Buttler,England,WK-Batter,SOLD,20000000,157500000,GT,2025
125,Yuzvendra Chahal,India,Bowler,SOLD,20000000,180000000,PBKS,2025
120,Arshdeep Singh,India,Bowler,RTM,20000000,180000000,PBKS,2025
137,Venkatesh Iyer,India,Allrounder,SOLD,20000000,237500000,KKR,2025
141,Shreyas Iyer,India,Batter,SOLD,20000000,267500000,PBKS,2025
142,Rishabh Pant,India,WK-Batter,SOLD,20000000,270000000,LSG,2025
