player_id,player_name,bowling_type,bowling_hand,batting_type,batting_hand,date_of_birth,is_wicket_keeper,nationality
6515,Benjamin Lister,Left-arm medium,L,Right-hand bat,R,01/01/96,0,New Zealand
6514,Anil Nidamanuru,Right-arm offbreak,R,Right-hand bat,R,22/08/94,0,New Zealand
6512,Michael Bracewell,Right-arm offbreak,R,Left-hand bat,L,14/02/91,0,New Zealand
6510,Ali Shafiq,Right-arm medium,R,Right-hand bat,R,16/11/96,0,Pakistan
6509,Utkarsh Singh,Right-arm offbreak,R,Left-hand bat,L,07/05/98,0,India
6508,Nazim Siddiqui,Right-arm medium,R,Right-hand bat,R,17/10/94,0,India
6506,Mohammad Imran Randhawa,Right-arm medium,R,Right-hand bat,R,25/12/96,0,Pakistan
6505,Dilip Nath,,,Left-hand bat,L,19/12/97,0,Japan
6503,Zahoor Khan,Right-arm Fast,R,Right-hand bat,R,25/05/89,0,United Arab Emirates
6502,Mohammad Boota,Right-arm medium,R,Right-hand bat,R,05/01/83,0,
6497,Muhammad Usman,Right-arm medium,R,Left-hand bat,L,13/10/85,0,Pakistan
6496,Rameez Shahzad,Right-arm offbreak,R,Right-hand bat,R,30/11/87,0,United Arab Emirates
6494,Manoj Bhandage,Right-arm medium,R,Left-hand bat,L,05/10/98,0,India
6493,Ankush Singh,Right-arm Leg-Break,R,Left-hand bat,L,12/10/98,0,India
6492,Aryan Juyal,Right-arm Fast,R,Right-hand bat,R,11/11/01,1,South Africa
6491,Mohit jangra,Left-arm Fast,L,Left-hand bat,L,27/09/99,0,India
6489,Darshan Nalkande,Right-arm fast-medium,R,Right-hand bat,R,03/10/98,0,India
6488,Harvik Desai,None,,Right-hand bat,R,04/10/99,1,India
6487,Priyam Garg,Right-arm medium,R,Right-hand bat,R,30/11/00,0,India
6486,Tanush Kotian,Right-arm offbreak,R,Right-hand bat,R,16/10/98,0,India
6483,Nishan Madushka,Right-arm Fast,R,Right-hand bat,R,09/09/99,0,Sri Lanka
6481,Nayeem Hasan,Right-arm offbreak,R,Right-hand bat,R,11/02/00,0,Bangladesh
6480,Qazi Onik Islam,Left-arm medium-fast,L,Left-hand bat,L,18/03/99,0,Bangladesh
6477,Ali Raza,Slow left-arm orthodox,L,Left-hand bat,L,04/04/95,0,Czech
6474,Nipun Dananjaya Perera,Right-arm offbreak,R,Left-hand bat,L,27/09/00,0,Sri Lanka
6473,M K Fernando,Right-arm offbreak,R,Right-hand bat,R,12/10/99,0,Sri Lanka
6472,Dhananjaya Lakshan,Right-arm medium-fast,R,Left-hand bat,L,05/10/98,0,Sri Lanka
6470,Subham Nayak,Right-arm offbreak,R,Right-hand bat,R,25/10/98,0,India
6468,Rajesh Dhuper,None,,Right-hand bat,R,02/12/99,1,India
6467,Anuj Rawat,Right-arm medium,,Left-hand bat,L,17/10/99,1,India
6466,Atharva Taide,Slow left-arm orthodox,L,Left-hand bat,L,26/04/00,0,India
6465,Vivekanand Tiwari,Right-arm medium,R,Right-hand bat,R,05/10/98,0,India
6464,Arshdeep Singh,Left-arm medium-fast,L,Left-hand bat,L,05/02/99,0,India
6463,Shiva Singh,Slow left-arm orthodox,L,Right-hand bat,R,16/10/99,0,India
6462,U Mukilesh,Right-arm offbreak,R,Right-hand bat,R,,0,India
6461,Mayank Rawat,Right-arm offbreak,R,Right-hand bat,R,04/12/99,0,India
6460,Ayush Badoni,Right-arm offbreak,R,Right-hand bat,R,03/12/99,0,India
6457,Urvil Patel,None,,Right-hand bat,R,17/10/98,0,India
6456,Manjot Kalra,Right-arm Fast,R,Left-hand bat,L,15/01/99,0,India
6455,Ninad Rathva,Slow left-arm orthodox,L,Left-hand bat,L,10/03/99,0,India
6452,Harsh Tyagi,Slow left-arm orthodox,L,Right-hand bat,R,01/01/00,0,India
6450,Mujeeb Ur Rahman,Right-arm offbreak,R,Right-hand bat,R,28/03/01,0,Afghanistan
6449,Wafadar Momand,Right-arm medium,R,Right-hand bat,R,05/10/99,0,Afghanistan
6448,Ibrahim Zadran,Right-arm medium-fast,R,Right-hand bat,R,12/12/01,0,Afghanistan
6446,Muhammad Musa,Right-arm Fast,R,Right-hand bat,R,28/08/00,0,Pakistan
6444,Saad Khan,Slow left-arm orthodox,L,Left-hand bat,L,16/11/99,0,Pakistan
6443,Rohail Nazir,None,,Right-hand bat,R,10/10/01,1,Pakistan
6442,Mohammad Taha,Slow left-arm orthodox,L,Left-hand bat,L,05/10/00,0,Pakistan
6441,Abdullah Shafique,Right-arm offbreak,R,Right-hand bat,R,20/11/99,0,Pakistan
6440,Omair Yousuf,Right-arm Fast,R,Right-hand bat,R,27/12/98,0,Pakistan
6438,Abdul Wasi Noori,Right-arm Leg-Break,R,Right-hand bat,R,05/07/02,0,Afghanistan
6437,Naveed Obaid,Right-arm medium,R,Right-hand bat,R,28/08/00,0,Afghanistan
6436,Qais Ahmad,Right-arm Leg-Break,R,Right-hand bat,R,15/08/00,0,Afghanistan
6435,Tariq Stanikzai,Slow left-arm orthodox,L,Left-hand bat,L,13/12/99,0,Afghanistan
6434,Nisar Wahdat,Right-arm offbreak,R,Right-hand bat,R,22/06/99,0,Afghanistan
6433,Darwish Rasooli,Right-arm offbreak,R,Right-hand bat,R,12/12/99,0,Afghanistan
6432,Ikram AliKhil,Right-arm medium,R,Left-hand bat,L,28/09/00,0,Afghanistan
6429,Dhruv Singh,Right-arm medium,R,Right-hand bat,R,10/11/97,0,India
6428,Upendra Yadav,Right-arm offbreak,R,Right-hand bat,R,08/10/96,0,India
6427,Mohammad Saif,Slow left-arm orthodox,L,Left-hand bat,L,30/08/96,0,India
6426,Shivam Chaudhary,Right-arm offbreak,R,Right-hand bat,R,04/08/97,0,India
6424,Rajat Khan,Right-arm offbreak,R,Left-hand bat,L,23/12/96,0,India
